"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D4,D5","2","SK6812","","","","LED_SMD:LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/product-files/1138/SK6812+LED+datasheet+.pdf"
"J1","1","AudioJack2","","","","Connector_Audio:Jack_3.5mm_PJ320D_Horizontal","~"
"R1,R3","2","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","~"
"SW3,SW4,SW5,SW6,SW7","5","RotaryEncoder_Switch","","","","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","~"
"U1","1","XIAO-RP2040-DIP","","","","XIAO_Footprints:XIAO-RP2040-DIP",""
"U2","1","MCP23017_ML","","","","Package_DFN_QFN:QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP23017-Data-Sheet-DS20001952.pdf"
"U3","1","CR2013-MI2120","","","","Display:CR2013-MI2120","http://pan.baidu.com/s/11Y990"
